"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"426","5166","23710","2017",0,"I","i"
"426","5166","23710","2018",0,"I","i"
"426","5166","23710","2019",0,"I","i"
"426","5166","23710","2020",0,"I","i"
"426","5166","23710","2021",0,"I","i"
"426","5166","23710","2022",0,"I","i"
"426","5166","23710","2023",0,"I","i"
"426","665","23710","2010",0.041173,"T","i"
"426","665","23710","2011",0.04081,"T","i"
"426","665","23710","2012",0.040402,"T","i"
"426","665","23710","2013",0.111907,"T","i"
"426","665","23710","2014",0.712556,"T","i"
"426","665","23710","2015",0.843011,"T","i"
"426","665","23710","2016",0.785682,"T","i"
"426","665","23710","2017",1.976543,"T","i"
"426","665","23710","2018",0.951661,"T","i"
"426","665","23710","2019",1.251168,"T","i"
"426","665","23710","2020",1.29115,"T","i"
"426","665","23710","2021",1.465625,"T","i"
"426","665","23710","2022",1.51411,"T","i"
"426","665","23710","2023",1.357391,"T","i"
"426","5510","23140.01","2022",1191.81,"I","c"
"426","5510","23140.01","2023",926.56,"I","c"
"426","5610","23140.01","2014",136.011,"T","s"
"426","5610","23140.01","2015",0.046,"T","s"
"426","5610","23140.01","2018",0.04,"T","s"
"426","5610","23140.01","2023",0.086,"T","c"
"426","5520","23140.01","2022",0,"E","-"
"426","5520","23140.01","2023",0,"E","-"
"426","5141","23140.01","2014",136.011,"E","e"
"426","5141","23140.01","2015",0.046,"E","e"
"426","5141","23140.01","2018",0.04,"E","e"
"426","5141","23140.01","2019",0,"E","h"
"426","5141","23140.01","2020",0,"E","h"
"426","5141","23140.01","2022",1191.81,"E","-"
"426","5141","23140.01","2023",926.646,"E","-"
"426","261","23140.01","2014",515.48169,"T","i"
"426","261","23140.01","2015",0.17434,"T","i"
"426","261","23140.01","2018",0.1516,"T","i"
"426","261","23140.01","2019",0,"T","i"
"426","261","23140.01","2020",0,"T","i"
"426","261","23140.01","2022",4516.9599,"T","i"
"426","261","23140.01","2023",3511.98834,"T","i"
"426","271","23140.01","2014",37.539036,"T","i"
"426","271","23140.01","2015",0.012696,"T","i"
"426","271","23140.01","2018",0.01104,"T","i"
"426","271","23140.01","2019",0,"T","i"
"426","271","23140.01","2020",0,"T","i"
"426","271","23140.01","2022",328.93956,"T","i"
"426","271","23140.01","2023",255.754296,"T","i"
"426","281","23140.01","2014",14.553177,"T","i"
"426","281","23140.01","2015",0.004922,"T","i"
"426","281","23140.01","2018",0.00428,"T","i"
"426","281","23140.01","2019",0,"T","i"
"426","281","23140.01","2020",0,"T","i"
"426","281","23140.01","2022",127.52367,"T","i"
"426","281","23140.01","2023",99.151122,"T","i"
"426","664","23140.01","2014",0.678951,"T","i"
"426","664","23140.01","2015",0.000227,"T","i"
"426","664","23140.01","2018",0.00019,"T","i"
"426","664","23140.01","2019",0,"T","i"
"426","664","23140.01","2020",0,"T","i"
"426","664","23140.01","2022",5.413226,"T","i"
"426","664","23140.01","2023",4.162666,"T","i"
"426","674","23140.01","2014",0.049443,"T","i"
"426","674","23140.01","2015",0.000017,"T","i"
"426","674","23140.01","2018",0.000014,"T","i"
"426","674","23140.01","2019",0,"T","i"
"426","674","23140.01","2020",0,"T","i"
"426","674","23140.01","2022",0.394209,"T","i"
"426","674","23140.01","2023",0.303139,"T","i"
"426","684","23140.01","2014",0.019168,"T","i"
"426","684","23140.01","2015",0.000006,"T","i"
"426","684","23140.01","2018",0.000005,"T","i"
"426","684","23140.01","2019",0,"T","i"
"426","684","23140.01","2020",0,"T","i"
"426","684","23140.01","2022",0.152827,"T","i"
"426","684","23140.01","2023",0.117521,"T","i"
"426","5166","23140.01","2014",0,"I","i"
"426","5166","23140.01","2015",0,"I","i"
"426","5166","23140.01","2018",0,"I","i"
"426","5166","23140.01","2019",0,"I","i"
"426","5166","23140.01","2020",0,"I","i"
"426","5166","23140.01","2022",0,"I","i"
"426","5166","23140.01","2023",0,"I","i"
"426","665","23140.01","2014",0.179143,"T","i"
"426","665","23140.01","2015",0.00006,"T","i"
"426","665","23140.01","2018",0.00005,"T","i"
"426","665","23140.01","2019",0,"T","i"
"426","665","23140.01","2020",0,"T","i"
"426","665","23140.01","2022",1.428292,"T","i"
"426","665","23140.01","2023",1.098329,"T","i"
"426","5610","F0020","2010",500,"E","f"
"426","5610","F0020","2011",500,"E","t"
"426","5610","F0020","2012",500,"E","t"
"426","5610","F0020","2013",140,"T","p"
"426","5610","F0020","2014",87.708,"T","s"
"426","5610","F0020","2015",126.239198,"T","s"
"426","5610","F0020","2016",144.2298,"T","s"
"426","5610","F0020","2017",50.99147,"","s"
