"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"426","281","S2531","2011",97.326393,"I","s"
"426","281","S2531","2012",98.379902,"I","s"
"426","281","S2531","2013",99.185705,"I","s"
"426","664","S2531","2010",97.848511,"I","s"
"426","664","S2531","2011",97.973377,"I","s"
"426","664","S2531","2012",98.043455,"I","s"
"426","664","S2531","2013",97.781879,"I","s"
"426","674","S2531","2010",2.380099,"I","s"
"426","674","S2531","2011",2.383136,"I","s"
"426","674","S2531","2012",2.384841,"I","s"
"426","674","S2531","2013",2.378478,"I","s"
"426","684","S2531","2010",0.132228,"I","s"
"426","684","S2531","2011",0.132396,"I","s"
"426","684","S2531","2012",0.132491,"I","s"
"426","684","S2531","2013",0.132138,"I","s"
"426","5166","S2531","2010",0,"I","s"
"426","5166","S2531","2011",0,"I","s"
"426","5166","S2531","2012",0,"I","s"
"426","5166","S2531","2013",0,"I","s"
"426","665","S2531","2010",151.985882,"T","i"
"426","665","S2531","2011",152.179833,"T","i"
"426","665","S2531","2012",152.288684,"T","i"
"426","665","S2531","2013",151.882385,"T","i"
"426","5510","S2534","2010",0,"I","s"
"426","5510","S2534","2011",0,"I","s"
"426","5510","S2534","2012",0,"I","s"
"426","5510","S2534","2013",0,"I","s"
"426","5166","S2534","2010",0,"I","s"
"426","5166","S2534","2011",0,"I","s"
"426","5166","S2534","2012",0,"I","s"
"426","5166","S2534","2013",0,"I","s"
"426","5610","S2542","2010",31500,"I","s"
"426","5610","S2542","2011",31500,"I","s"
"426","5610","S2542","2012",33500,"I","s"
"426","5610","S2542","2013",28520,"I","s"
"426","5071","S2542","2010",0,"I","s"
"426","5071","S2542","2011",0,"I","s"
"426","5071","S2542","2012",5505.403032,"I","s"
"426","5071","S2542","2013",198.596968,"I","s"
"426","5141","S2542","2010",31500,"I","s"
"426","5141","S2542","2011",31500,"I","s"
"426","5141","S2542","2012",27994.596968,"I","s"
"426","5141","S2542","2013",28321.403032,"I","s"
"426","261","S2542","2010",126105,"I","s"
"426","261","S2542","2011",126105,"I","s"
"426","261","S2542","2012",112105.793538,"I","s"
"426","261","S2542","2013",113160.966462,"I","s"
"426","271","S2542","2010",98,"I","s"
"426","271","S2542","2011",98,"I","s"
"426","271","S2542","2012",95.048715,"I","s"
"426","271","S2542","2013",36.999285,"I","s"
"426","281","S2542","2010",371,"I","s"
"426","281","S2542","2011",371,"I","s"
"426","281","S2542","2012",359.827279,"I","s"
"426","281","S2542","2013",140.068721,"I","s"
"426","664","S2542","2010",173.070997,"I","s"
"426","664","S2542","2011",171.544989,"I","s"
"426","664","S2542","2012",150.976223,"I","s"
"426","664","S2542","2013",150.755868,"I","s"
"426","674","S2542","2010",0.134499,"I","s"
"426","674","S2542","2011",0.133313,"I","s"
"426","674","S2542","2012",0.128005,"I","s"
"426","674","S2542","2013",0.049291,"I","s"
"426","684","S2542","2010",0.509174,"I","s"
"426","684","S2542","2011",0.504684,"I","s"
"426","684","S2542","2012",0.48459,"I","s"
"426","684","S2542","2013",0.186603,"I","s"
"426","5166","S2542","2010",0,"I","s"
"426","5166","S2542","2011",0,"I","s"
"426","5166","S2542","2012",0,"I","s"
"426","5166","S2542","2013",0,"I","s"
"426","665","S2542","2010",43.231723,"T","i"
"426","665","S2542","2011",42.850538,"T","i"
"426","665","S2542","2012",37.701161,"T","i"
"426","665","S2542","2013",37.730481,"T","i"
"426","5610","S2745","2010",0,"I","s"
"426","5610","S2745","2011",0,"I","s"
"426","5610","S2745","2012",0,"I","s"
"426","5610","S2745","2013",14,"I","s"
"426","5071","S2745","2010",0,"I","s"
"426","5071","S2745","2011",0,"I","s"
"426","5071","S2745","2012",0,"I","s"
"426","5071","S2745","2013",-0.135936,"I","s"
"426","5141","S2745","2010",0,"I","s"
"426","5141","S2745","2011",0,"I","s"
"426","5141","S2745","2012",0,"I","s"
"426","5141","S2745","2013",14.135936,"I","s"
"426","261","S2745","2010",0,"I","s"
"426","261","S2745","2011",0,"I","s"
"426","261","S2745","2012",0,"I","s"
"426","261","S2745","2013",46.36587,"I","s"
"426","271","S2745","2010",0,"I","s"
"426","271","S2745","2011",0,"I","s"
"426","271","S2745","2012",0,"I","s"
"426","271","S2745","2013",0.042408,"I","s"
"426","281","S2745","2010",0,"I","s"
"426","281","S2745","2011",0,"I","s"
"426","281","S2745","2012",0,"I","s"
"426","281","S2745","2013",0,"I","s"
"426","664","S2745","2010",0,"I","s"
"426","664","S2745","2011",0,"I","s"
"426","664","S2745","2012",0,"I","s"
"426","664","S2745","2013",0.06177,"I","s"
"426","674","S2745","2010",0,"I","s"
"426","674","S2745","2011",0,"I","s"
"426","674","S2745","2012",0,"I","s"
"426","674","S2745","2013",0.000056,"I","s"
"426","684","S2745","2010",0,"I","s"
"426","684","S2745","2011",0,"I","s"
"426","684","S2745","2012",0,"I","s"
"426","684","S2745","2013",0,"I","s"
"426","5166","S2745","2010",0,"I","s"
"426","5166","S2745","2011",0,"I","s"
"426","5166","S2745","2012",0,"I","s"
"426","5166","S2745","2013",0,"I","s"
"426","665","S2745","2010",0,"T","i"
"426","665","S2745","2011",0,"T","i"
"426","665","S2745","2012",0,"T","i"
"426","665","S2745","2013",0.018832,"T","i"
"426","5610","S2543","2010",8580,"I","s"
"426","5610","S2543","2011",8580,"I","s"
"426","5610","S2543","2012",9080,"I","s"
"426","5610","S2543","2013",14329,"I","s"
"426","5071","S2543","2010",-961.404245,"I","s"
"426","5071","S2543","2011",-1355.672942,"I","s"
"426","5071","S2543","2012",-1388.448103,"I","s"
"426","5071","S2543","2013",2865.8,"I","s"
"426","5141","S2543","2010",9541.404245,"I","s"
"426","5141","S2543","2011",9935.672942,"I","s"
"426","5141","S2543","2012",10468.448103,"I","s"
"426","5141","S2543","2013",11463.2,"I","s"
"426","261","S2543","2010",3938.747656,"I","s"
"426","261","S2543","2011",4092.512447,"I","s"
"426","261","S2543","2012",4735.49476,"I","s"
"426","261","S2543","2013",6568.312,"I","s"
"426","271","S2543","2010",1.04,"I","s"
"426","271","S2543","2011",1.04,"I","s"
"426","271","S2543","2012",3.12,"I","s"
"426","271","S2543","2013",10.0256,"I","s"
"426","281","S2543","2010",0,"I","s"
"426","281","S2543","2011",0,"I","s"
"426","281","S2543","2012",0,"I","s"
"426","281","S2543","2013",0,"I","s"
"426","664","S2543","2010",5.405678,"I","s"
"426","664","S2543","2011",5.567186,"I","s"
"426","664","S2543","2012",6.377432,"I","s"
"426","664","S2543","2013",8.750469,"I","s"
"426","674","S2543","2010",0.001427,"I","s"
"426","674","S2543","2011",0.001415,"I","s"
"426","674","S2543","2012",0.004202,"I","s"
"426","674","S2543","2013",0.013356,"I","s"
"426","684","S2543","2010",0,"I","s"
"426","684","S2543","2011",0,"I","s"
"426","684","S2543","2012",0,"I","s"
"426","684","S2543","2013",0,"I","s"
"426","5166","S2543","2010",0,"I","s"
"426","5166","S2543","2011",0,"I","s"
"426","5166","S2543","2012",0,"I","s"
"426","5166","S2543","2013",0,"I","s"
"426","665","S2543","2010",13.094963,"T","i"
"426","665","S2543","2011",13.515839,"T","i"
"426","665","S2543","2012",14.098172,"T","i"
"426","665","S2543","2013",15.271562,"T","i"
"426","5510","S2546","2010",8899,"I","s"
"426","5510","S2546","2011",7102,"I","s"
"426","5510","S2546","2012",5000.471811,"I","s"
"426","5510","S2546","2013",3357,"I","s"
"426","5610","S2546","2010",9700,"I","s"
"426","5610","S2546","2011",9700,"I","s"
"426","5610","S2546","2012",10000,"I","s"
"426","5610","S2546","2013",10200,"I","s"
"426","5071","S2546","2010",0,"I","s"
"426","5071","S2546","2011",0,"I","s"
"426","5071","S2546","2012",0,"I","s"
"426","5071","S2546","2013",2711.4,"I","s"
"426","5910","S2546","2010",0,"I","s"
"426","5910","S2546","2011",0,"I","s"
"426","5910","S2546","2012",0,"I","s"
"426","5910","S2546","2013",0,"I","s"
"426","5520","S2546","2010",7488.25039,"I","s"
"426","5520","S2546","2011",6764.749882,"I","s"
"426","5520","S2546","2012",6039.426254,"I","s"
"426","5520","S2546","2013",5359.293863,"I","s"
"426","5525","S2546","2010",1210.881158,"I","s"
